Date,Description,Amount (PKR)
2026-05-01,Netflix Subscription,1500
2026-05-03,Grocery Store - Metro,4200
2026-05-04,InDrive Ride,350
2026-05-07,Electricity Bill,6800
2026-05-09,Foodpanda Order,1200
2026-05-09,Grocery Store - Metro,2100
2026-05-11,Mobile Balance - Jazz,1000
2026-05-14,Spotify Premium,850
2026-05-14,Doctor Appointment - Dr. Ahmed Clinic,2500
2026-05-17,Grocery Store - Imtiaz,3600
2026-05-19,InDrive Ride,420
2026-05-21,Netflix Subscription,1500
2026-05-21,Netflix Subscription,1500
2026-05-23,Foodpanda Order,950
2026-05-25,InDrive Ride,280
2026-05-28,Grocery Store - Metro,2800
2026-05-30,Mobile Balance - Jazz,1000
2026-05-31,InDrive Ride,300
2026-06-02,Foodpanda Order,1100
2026-06-02,Electricity Bill,6800
2026-06-05,Grocery Store - Imtiaz,4000
2026-06-08,Grocery Store - Metro,4500
2026-06-10,InDrive Ride,380
2026-06-11,Electricity Bill,7100
2026-06-13,Foodpanda Order,1300
2026-06-16,Grocery Store - Metro,2000
2026-06-18,Mobile Balance - Jazz,1000
2026-06-19,Pizza Online - Domino's,1500
2026-06-21,Spotify Premium,850
2026-06-24,Grocery Store - Imtiaz,3500
2026-06-25,InDrive Ride,400
2026-06-25,Doctor Appointment - Dr. Ahmed Clinic,2500
2026-06-27,Netflix Subscription,1500
2026-06-29,Foodpanda Order,1000
2026-06-30,InDrive Ride,310
